Course ID,Title,Description,Tags
PY101547,Python for Beginners Lv.1,Learn Python programming from scratch.,tech
ME301158,Fluid Mechanics Lv.2,Explore properties of fluids and flow.,mechanical
WD201496,Web Development Bootcamp Lv.2,"Build modern websites using HTML, CSS, and JavaScript.",tech
IV301195,Investment Strategies Lv.2,Explore personal and professional investment approaches.,finance
CL501337,Cloud Computing Basics Lv.2,Introduction to cloud platforms and services.,tech
ME401121,Manufacturing Processes Lv.2,"Learn about machining, molding, and fabrication.",mechanical
EN201629,Entrepreneurship Essentials Lv.3,Learn to start and scale your business.,business
AN501782,Financial Analysis Lv.2,Learn techniques for analyzing financial statements.,finance
EL101679,Circuit Fundamentals Lv.3,Basics of electrical circuits and Ohm's law.,electrical
EL401459,Signal Processing Lv.3,Analyze and manipulate signals and waveforms.,electrical
BM101225,Business Management Lv.2,Introduction to business structure and management.,business
MK301944,Marketing Strategies Lv.2,Develop skills in market research and advertising.,business
EN201584,Entrepreneurship Essentials Lv.1,Learn to start and scale your business.,business
DS301324,Data Science Mastery Lv.2,"Explore data analysis, machine learning, and visualization.",tech
ME301554,Fluid Mechanics Lv.2,Explore properties of fluids and flow.,mechanical
EL201911,Power Systems Lv.2,Explore electricity generation and distribution.,electrical
ME301710,Fluid Mechanics Lv.1,Explore properties of fluids and flow.,mechanical
MK301540,Marketing Strategies Lv.2,Develop skills in market research and advertising.,business
AN501113,Financial Analysis Lv.1,Learn techniques for analyzing financial statements.,finance
ME101946,Engineering Mechanics Lv.1,"Understand forces, moments, and structures.",mechanical
AC201394,Accounting Principles Lv.1,Understand core accounting concepts and practices.,finance
MK401453,Financial Markets Lv.2,Dive into global financial markets and instruments.,finance
CL501316,Cloud Computing Basics Lv.1,Introduction to cloud platforms and services.,tech
ME201518,Thermodynamics Lv.1,"Study energy, heat, and thermodynamic cycles.",mechanical
AN501691,Financial Analysis Lv.3,Learn techniques for analyzing financial statements.,finance
EL501416,Embedded Systems Lv.1,Learn microcontroller and embedded programming.,electrical
ME201549,Thermodynamics Lv.3,"Study energy, heat, and thermodynamic cycles.",mechanical
EL301749,Control Systems Lv.3,Understand automation and feedback in engineering.,electrical
EL401200,Signal Processing Lv.2,Analyze and manipulate signals and waveforms.,electrical
PY101731,Python for Beginners Lv.1,Learn Python programming from scratch.,tech
AI401124,Introduction to AI Lv.3,Understand basics of Artificial Intelligence.,tech
ME501403,Machine Design Lv.2,Design mechanical systems and components.,mechanical
EL501612,Embedded Systems Lv.2,Learn microcontroller and embedded programming.,electrical
ME301886,Fluid Mechanics Lv.3,Explore properties of fluids and flow.,mechanical
MK401629,Financial Markets Lv.1,Dive into global financial markets and instruments.,finance
EL201115,Power Systems Lv.1,Explore electricity generation and distribution.,electrical
MK401844,Financial Markets Lv.2,Dive into global financial markets and instruments.,finance
AN501523,Financial Analysis Lv.2,Learn techniques for analyzing financial statements.,finance
EL301927,Control Systems Lv.2,Understand automation and feedback in engineering.,electrical
AI401567,Introduction to AI Lv.2,Understand basics of Artificial Intelligence.,tech
MK401817,Financial Markets Lv.3,Dive into global financial markets and instruments.,finance
IV301919,Investment Strategies Lv.3,Explore personal and professional investment approaches.,finance
AN501126,Financial Analysis Lv.3,Learn techniques for analyzing financial statements.,finance
ME301852,Fluid Mechanics Lv.3,Explore properties of fluids and flow.,mechanical
EL501539,Embedded Systems Lv.2,Learn microcontroller and embedded programming.,electrical
WD201651,Web Development Bootcamp Lv.2,"Build modern websites using HTML, CSS, and JavaScript.",tech
FI101792,Fundamentals of Finance Lv.3,Learn the basics of finance and money management.,finance
CL501887,Cloud Computing Basics Lv.1,Introduction to cloud platforms and services.,tech
ME301843,Fluid Mechanics Lv.3,Explore properties of fluids and flow.,mechanical
EL201709,Power Systems Lv.1,Explore electricity generation and distribution.,electrical
EL101110,Circuit Fundamentals Lv.1,Basics of electrical circuits and Ohm's law.,electrical
ME101392,Engineering Mechanics Lv.1,"Understand forces, moments, and structures.",mechanical
AC201212,Accounting Principles Lv.1,Understand core accounting concepts and practices.,finance
ME201725,Thermodynamics Lv.1,"Study energy, heat, and thermodynamic cycles.",mechanical
MK401619,Financial Markets Lv.3,Dive into global financial markets and instruments.,finance
HR401959,Human Resource Management Lv.2,"Understand recruiting, training, and HR strategy.",business
CL501809,Cloud Computing Basics Lv.3,Introduction to cloud platforms and services.,tech
AI401632,Introduction to AI Lv.3,Understand basics of Artificial Intelligence.,tech
IV301187,Investment Strategies Lv.1,Explore personal and professional investment approaches.,finance
ME101889,Engineering Mechanics Lv.3,"Understand forces, moments, and structures.",mechanical
EL401478,Signal Processing Lv.3,Analyze and manipulate signals and waveforms.,electrical
EL401798,Signal Processing Lv.3,Analyze and manipulate signals and waveforms.,electrical
ME101516,Engineering Mechanics Lv.2,"Understand forces, moments, and structures.",mechanical
WD201951,Web Development Bootcamp Lv.3,"Build modern websites using HTML, CSS, and JavaScript.",tech
EN201122,Entrepreneurship Essentials Lv.2,Learn to start and scale your business.,business
EL501257,Embedded Systems Lv.3,Learn microcontroller and embedded programming.,electrical
EL101367,Circuit Fundamentals Lv.1,Basics of electrical circuits and Ohm's law.,electrical
ME401846,Manufacturing Processes Lv.1,"Learn about machining, molding, and fabrication.",mechanical
IV301735,Investment Strategies Lv.2,Explore personal and professional investment approaches.,finance
BM101856,Business Management Lv.1,Introduction to business structure and management.,business
CL501577,Cloud Computing Basics Lv.3,Introduction to cloud platforms and services.,tech
EL401563,Signal Processing Lv.1,Analyze and manipulate signals and waveforms.,electrical
AI401369,Introduction to AI Lv.3,Understand basics of Artificial Intelligence.,tech
FI101923,Fundamentals of Finance Lv.2,Learn the basics of finance and money management.,finance
ME501417,Machine Design Lv.3,Design mechanical systems and components.,mechanical
PY101863,Python for Beginners Lv.2,Learn Python programming from scratch.,tech
CL501903,Cloud Computing Basics Lv.1,Introduction to cloud platforms and services.,tech
ME501396,Machine Design Lv.3,Design mechanical systems and components.,mechanical
EL201252,Power Systems Lv.3,Explore electricity generation and distribution.,electrical
EL501374,Embedded Systems Lv.2,Learn microcontroller and embedded programming.,electrical
ME301570,Fluid Mechanics Lv.1,Explore properties of fluids and flow.,mechanical
EL101419,Circuit Fundamentals Lv.1,Basics of electrical circuits and Ohm's law.,electrical
ME401262,Manufacturing Processes Lv.2,"Learn about machining, molding, and fabrication.",mechanical
DS301546,Data Science Mastery Lv.3,"Explore data analysis, machine learning, and visualization.",tech
MK401914,Financial Markets Lv.3,Dive into global financial markets and instruments.,finance
EL401243,Signal Processing Lv.1,Analyze and manipulate signals and waveforms.,electrical
DS301846,Data Science Mastery Lv.2,"Explore data analysis, machine learning, and visualization.",tech
ME501858,Machine Design Lv.3,Design mechanical systems and components.,mechanical
EL101264,Circuit Fundamentals Lv.2,Basics of electrical circuits and Ohm's law.,electrical
IV301160,Investment Strategies Lv.3,Explore personal and professional investment approaches.,finance
ME101820,Engineering Mechanics Lv.1,"Understand forces, moments, and structures.",mechanical
DS301717,Data Science Mastery Lv.3,"Explore data analysis, machine learning, and visualization.",tech
FI101935,Fundamentals of Finance Lv.1,Learn the basics of finance and money management.,finance
FI101716,Fundamentals of Finance Lv.2,Learn the basics of finance and money management.,finance
FI101532,Fundamentals of Finance Lv.2,Learn the basics of finance and money management.,finance
CL501110,Cloud Computing Basics Lv.1,Introduction to cloud platforms and services.,tech
ME101863,Engineering Mechanics Lv.3,"Understand forces, moments, and structures.",mechanical
CL501258,Cloud Computing Basics Lv.3,Introduction to cloud platforms and services.,tech
EL301838,Control Systems Lv.3,Understand automation and feedback in engineering.,electrical
EN201121,Entrepreneurship Essentials Lv.3,Learn to start and scale your business.,business
EL301283,Control Systems Lv.2,Understand automation and feedback in engineering.,electrical
CL501263,Cloud Computing Basics Lv.2,Introduction to cloud platforms and services.,tech
HR401301,Human Resource Management Lv.2,"Understand recruiting, training, and HR strategy.",business
AI401358,Introduction to AI Lv.2,Understand basics of Artificial Intelligence.,tech
EL301484,Control Systems Lv.3,Understand automation and feedback in engineering.,electrical
HR401987,Human Resource Management Lv.2,"Understand recruiting, training, and HR strategy.",business
IV301934,Investment Strategies Lv.3,Explore personal and professional investment approaches.,finance
AC201526,Accounting Principles Lv.3,Understand core accounting concepts and practices.,finance
AI401950,Introduction to AI Lv.2,Understand basics of Artificial Intelligence.,tech
FI101359,Fundamentals of Finance Lv.2,Learn the basics of finance and money management.,finance
ME101958,Engineering Mechanics Lv.1,"Understand forces, moments, and structures.",mechanical
MK401276,Financial Markets Lv.2,Dive into global financial markets and instruments.,finance
EL501446,Embedded Systems Lv.2,Learn microcontroller and embedded programming.,electrical
AN501783,Financial Analysis Lv.2,Learn techniques for analyzing financial statements.,finance
ME101959,Engineering Mechanics Lv.1,"Understand forces, moments, and structures.",mechanical
